question,answer
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI01LA194],ChallengerII
What could have contributed to the cause of the accident [AccidentNumber_ERA11LA224],Notattained/maintained|FLIGHTCREW|COMPANY_MAINTENANCE_PERSONNEL|INSTRUCTOR/CHECK_PILOT|_UNKNOWN_PERSON|PILOT_IN_COMMAND|STUDENT_PILOT|PILOT_OF_OTHER_AIRCRAFT
What could have contributed to the cause of the accident [AccidentNumber_CHI91LA056],OTHER
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_DEN05LA019],3825 Hours at time of accident
What could have contributed to the cause of the accident [AccidentNumber_LAX06FA283],UNKNOWN|PILOT_IN_COMMAND
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_LAX05CA059],Multi-engineLand;Single-engineLand
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW03LA069],Private
What could have contributed to the cause of the accident [AccidentNumber_SEA89FA021],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|OTHER|OTHERPERSON|OTHER
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_CHI03LA002],Airplane Single-engine; Instrument Airplane
What could have contributed to the cause of the accident [AccidentNumber_WPR14CA363],INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|COMPANY_MAINTENANCE_PERSONNEL|Response/compensation|EffectOnOperation|NotSpecified|AwarenessOfCondition|ContributedToOutcome|EffectOnPersonnel
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_NYC02LA101],"Installed, not activated"
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_NYC04CA020],Multi-engineLand;Single-engineLand
What is the landing gear type of the registered aircraft involved in [AccidentNumber_SEA04LA063A],Retractable-Hull;Tailwheel
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_DEN04FA027A],Swearingen
What is the operator of the registered aircraft involved in [AccidentNumber_DEN01LA038],A Bar V Cattle & Commerce
What could have contributed to the cause of the accident [AccidentNumber_SEA04LA024],PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_FTW91DPG03],OTHER|UNKNOWN|PILOT_IN_COMMAND
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_MIA03LA035],298.2 Hours at time of accident
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_LAX04LA112],Airplane Single-engine
Who is the registered owner of the registered aircraft involved in [AccidentNumber_FTW03FA027],Robin Williams
Who is the registered owner of the registered aircraft involved in [AccidentNumber_NYC02LA003],Robert D. Ellis
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ANC05FA090],Cessna
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX04LA119],Private
What is the operator of the registered aircraft involved in [AccidentNumber_LAX05LA025],AIR METHODS CORP
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_DEN03LA027],FlightInstructor;Commercial
What is the aircraft model of the registered aircraft involved in [AccidentNumber_ATL04LA088],172N
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI01LA263],24-4150
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_LAX05LA025],Normal
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_LAX04CA200],Single-engineLand
What is the aircraft category of the registered aircraft involved in [AccidentNumber_IAD04LA019],Airplane
What is the serial number of the registered aircraft involved in [AccidentNumber_NYC02LA128],16-542
What could have contributed to the cause of the accident [AccidentNumber_MIA95FA141],PILOT_IN_COMMAND|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_CEN13CA185],INSTRUCTOR/CHECK_PILOT|OWNER/BUILDER|PILOT_IN_COMMAND|STUDENT_PILOT|PASSENGER|NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded
What is the aircraft model of the registered aircraft involved in [AccidentNumber_SEA03LA023],47G
What could have contributed to the cause of the accident [AccidentNumber_ERA10CA462],EffectOnOperation|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_GAA16CA094],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded
What is the engine model of the registered aircraft involved in [AccidentNumber_IAD05LA009],C85
Who is the registered owner of the registered aircraft involved in [AccidentNumber_DEN01LA080],Will E. Fox
What could have contributed to the cause of the accident [AccidentNumber_CEN09CA120],NotSpecified|Incorrectuse/operation|EffectOnEquipment|EffectOnOperation|AwarenessOfCondition|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_MIA05LA066],Airplane Multi-engine; Airplane Single-engine; Instrument Airplane
What is the engine type of the registered aircraft involved in [AccidentNumber_CHI03LA032],2Reciprocating
What is the aircraft model of the registered aircraft involved in [AccidentNumber_SEA02LA010],HatzCB-1
Who is the registered owner of the registered aircraft involved in [AccidentNumber_MIA05LA066],Karl W. Doane III
What could have contributed to the cause of the accident [AccidentNumber_FTW87LA112],OTHER
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX02LA035],Tailwheel
What could have contributed to the cause of the accident [AccidentNumber_GAA16CA218],NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|Response/compensation|EffectOnEquipment|EffectOnOperation|NotSpecified|AwarenessOfCondition|ContributedToOutcome|AbilityTorespond/compensate|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
When was the last inspection of the registered aircraft involved in [AccidentNumber_CHI05CA039],___Unknown___TypeOfLastInspection
What could have contributed to the cause of the accident [AccidentNumber_ATL90LA068],OTHER|CONTAMINATIONOTHERTHANWATER
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW01LA057],Class 3 Valid Medical--w/ waivers/lim.
Who is the registered owner of the registered aircraft involved in [AccidentNumber_CHI02LA024],Patrick L. Martin
What is the operator of the registered aircraft involved in [AccidentNumber_ATL04LA074],Johnny R Hoy
When was the last inspection of the registered aircraft involved in [AccidentNumber_ATL05CA068],Annual
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_DEN01LA047],Normal
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_LAX03LA020],Normal
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL03FA115],Normal
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_SEA01LA124],1981 Hours
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW03LA102],Private;Student
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX02LA036],Robert E. Albee
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW02LA194],Not installed
What could have contributed to the cause of the accident [AccidentNumber_FTW01LA057],OTHER
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX05CA153],___Unknown___TypeOfLastInspection
What could have contributed to the cause of the accident [AccidentNumber_MIA89MA023],PASSENGER|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND|ATCPERSONNEL_DEP/APCH|PILOT_IN_COMMAND|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND|COMPANY/OPERATOR_MANAGEMENT
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_LAX02LA035],"Installed, activated, did not aid in locating accident"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI01LA060],Tricycle
What could have contributed to the cause of the accident [AccidentNumber_CEN11FA259],CapabilityExceeded|NotSpecified|Attain/maintainNotPossible|Notattained/maintained|PILOT_IN_COMMAND
When was the last inspection of the registered aircraft involved in [AccidentNumber_SEA03LA182],Annual
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_DFW05CA097],Normal
Who is the registered owner of the registered aircraft involved in [AccidentNumber_ANC02LA019],GUSSIC VENTURES
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_FTW03FA055],Utility
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_NYC04CA022],Continental
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL02FA058],Lycoming
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_NYC04CA019],"Installed, activated, did not aid in locating accident"
What is the aircraft category of the registered aircraft involved in [AccidentNumber_FTW01FA111],Airplane
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_DEN05LA109],504 Hours at time of accident
What could have contributed to the cause of the accident [AccidentNumber_ERA10CA045],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|NotSpecified|AwarenessOfCondition|ContributedToOutcome|AbilityTorespond/compensate|Response/compensation|EffectOnEquipment|NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW03LA102],1Reciprocating
Who is the registered owner of the registered aircraft involved in [AccidentNumber_DEN04FA043],Eagle Air LLC
What could have contributed to the cause of the accident [AccidentNumber_ERA12CA094],AbilityTorespond/compensate|EffectOnPersonnel|Response/compensation|EffectOnOperation|NotSpecified|ContributedToOutcome|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded
What could have contributed to the cause of the accident [AccidentNumber_CEN09CA402],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
When was the last inspection of the registered aircraft involved in [AccidentNumber_CHI02LA024],100 Hour
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI04LA124],Beech
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_MIA02LA057],Continental
Who is the registered owner of the registered aircraft involved in [AccidentNumber_CHI05CA039],Wing Flying Club Inc.
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_ATL04LA044],Class 3 Valid Medical--no waivers/lim.
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_LAX02LA036],Class 2 Without Waivers/Limitations
What is the aircraft model of the registered aircraft involved in [AccidentNumber_MIA05LA001],162F
What is the engine type of the registered aircraft involved in [AccidentNumber_DEN01LA154],1TurboShaft
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX03LA019],Skid
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_NYC03LA060],Single-engineLand
What is the aircraft model of the registered aircraft involved in [AccidentNumber_NYC05CA079],B75N1
What could have contributed to the cause of the accident [AccidentNumber_CEN16LA053],InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_LAX01LA083],Eurocopter
What is the engine type of the registered aircraft involved in [AccidentNumber_IAD05LA093],1Reciprocating
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_CHI04CA132],Student
What could have contributed to the cause of the accident [AccidentNumber_CEN15FA249],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|Attain/maintainNotPossible|Notattained/maintained
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI05LA064],Continental
What is the aircraft category of the registered aircraft involved in [AccidentNumber_MIA05CA065],Airplane
What could have contributed to the cause of the accident [AccidentNumber_ANC98LA138],OTHER
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX02LA221],William K. Gamble
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_SEA02LA001],Continental
Who is the registered owner of the registered aircraft involved in [AccidentNumber_MIA03CA103],Quiet technologies Inc.
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_CHI03LA143],Class 2 Valid Medical--no waivers/lim.
What could have contributed to the cause of the accident [AccidentNumber_CHI08CA035],OTHER
What is the operator of the registered aircraft involved in [AccidentNumber_LAX04CA309],Edward A. Warburton
What is the operator of the registered aircraft involved in [AccidentNumber_LAX02LA037],Hart Air
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_FTW01FA111],Multi-engineLand;Single-engineLand
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_LAX01LA298],___Unknown___ELT
What is the engine model of the registered aircraft involved in [AccidentNumber_DEN04LA001],IO-360
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW03LA069],1Reciprocating
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_ANC03LA011],Airplane Multi-engine; Airplane Single-engine; Instrument Airplane
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_DEN05LA055],Cessna
What could have contributed to the cause of the accident [AccidentNumber_ANC84FA132],PILOT_IN_COMMAND
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_DEN03FA002],Class 3 Valid Medical--no waivers/lim.
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN01LA080],Tailwheel
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI04CA172],Retractable-Tricycle
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_NYC04CA020],Lycoming
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_DEN03FA002],3490 Hours at time of accident
What could have contributed to the cause of the accident [AccidentNumber_MIA99LA144],UNKNOWN|PILOT_IN_COMMAND
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ANC02FA042],"Installed, not activated"
What could have contributed to the cause of the accident [AccidentNumber_CEN12LA147],Failure
What is the serial number of the registered aircraft involved in [AccidentNumber_FTW04LA031],310H0042
What could have contributed to the cause of the accident [AccidentNumber_DEN00LA069],OTHER|OTHERPERSON|OTHER
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03LA242],___Unknown___ELT|Not installed
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI01LA079],R1380
What is the operator of the registered aircraft involved in [AccidentNumber_MIA03LA139],Samuel G. DaSilva
What is the engine type of the registered aircraft involved in [AccidentNumber_CHI04CA172],2Reciprocating
What is the operator of the registered aircraft involved in [AccidentNumber_DEN01LA047],Daniel R. Dolan II
What could have contributed to the cause of the accident [AccidentNumber_WPR13CA253],NotSpecified|Notattained/maintained|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|STUDENT_PILOT|FLIGHTCREW
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_DEN04LA056],Single-engineLand
What could have contributed to the cause of the accident [AccidentNumber_SEA82DA022],OTHER
What is the engine type of the registered aircraft involved in [AccidentNumber_MIA05LA066],2Reciprocating
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW02LA135],Private
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_MIA03LA139],Single-engineLand
What could have contributed to the cause of the accident [AccidentNumber_FTW85LA001],CHECK_PILOT|OTHERPERSON|PILOT_IN_COMMAND|OTHER
What is the engine type of the registered aircraft involved in [AccidentNumber_ANC05LA093],1Reciprocating
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX01LA089],Continental
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ANC05CA040],Commercial
What is the aircraft model of the registered aircraft involved in [AccidentNumber_ATL04LA164],172S
What could have contributed to the cause of the accident [AccidentNumber_ANC95LA123],OTHER
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW02FA195],Class 2 Valid Medical--w/ waivers/lim.
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_DEN03FA002],"Installed, activated, aided in locating accident"
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX02LA221],___Unknown___TypeOfLastInspection
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI05LA086],Single-engineLand
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DFW05LA153],Retractable-Tricycle
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_FTW01LA113],Normal
What is the engine model of the registered aircraft involved in [AccidentNumber_NYC04FA137],O-470
What is the aircraft category of the registered aircraft involved in [AccidentNumber_NYC03LA187],Airplane
What could have contributed to the cause of the accident [AccidentNumber_CEN11LA090],Attain/maintainNotPossible|Notattained/maintained
What is the engine type of the registered aircraft involved in [AccidentNumber_MIA05LA021],1Reciprocating
What could have contributed to the cause of the accident [AccidentNumber_WPR13FA001],PILOT_IN_COMMAND|AbilityTorespond/compensate|EffectOnPersonnel|Response/compensation|EffectOnOperation|NotSpecified|ContributedToOutcome
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_DEN01LA100],Lycoming
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI01LA060],Cessna
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_LAX03LA044],Cessna
What could have contributed to the cause of the accident [AccidentNumber_ANC95FAMS1],UNKNOWN|PILOT_IN_COMMAND
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_SEA01TA083],P&W
What could have contributed to the cause of the accident [AccidentNumber_CHI00FA003B],OTHER_MAINTENANCE_PERSONNEL|OTHERINSTITUTION|COMPANY/OPERATOR_MANAGEMENT|MANUFACTURER
What is the engine type of the registered aircraft involved in [AccidentNumber_MIA05FA020],1Reciprocating
What is the serial number of the registered aircraft involved in [AccidentNumber_DEN04LA020],BC-787B
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI01LA303],Tricycle
What could have contributed to the cause of the accident [AccidentNumber_LAX08LA211],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|Attain/maintainNotPossible|Notattained/maintained
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI01LA195],Not installed
What could have contributed to the cause of the accident [AccidentNumber_ANC97LA139],PILOT_IN_COMMAND
What is the engine model of the registered aircraft involved in [AccidentNumber_IAD03FA035],PT6A-64
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_NYC03FA001],AirlineTransport
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_SEA02LA046],3898 Hours as of last inspection
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA01LA054],Class 3 Valid Medical--w/ waivers/lim.
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL04CA146],1TurboProp
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX03FA057],Retractable-Tricycle
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_SEA04LA077],3317 Hours at time of accident
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX05CA059],Airplane
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03LA187],"Installed, not activated"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN04LA017],Tricycle
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_LAX05FA058],Class 2 Without Waivers/Limitations
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX05CA082],___Unknown___TypeOfLastInspection
What is the aircraft model of the registered aircraft involved in [AccidentNumber_DEN05TA033],PA-18-150
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_MIA03TA036],Allison
What could have contributed to the cause of the accident [AccidentNumber_WPR11LA068A],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|NotSpecified
What could have contributed to the cause of the accident [AccidentNumber_ATL98LA070],OTHERPERSON|OTHER
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_FTW04LA087],Lycoming
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ANC01LA079],Normal
What could have contributed to the cause of the accident [AccidentNumber_WPR09CA137],Malfunction|Failure|NotSpecified|ContributedToOutcome
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_SEA04LA152],Private
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_FTW04LA087],Piper
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_CHI02LA024],Class 3 Valid Medical--w/ waivers/lim.
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI01LA078],Multi-engineLand;Single-engineLand
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL04LA164],1Reciprocating
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL03FA115],TeledyneContinental
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_ANC02LA112],Class 3 Valid Medical--w/ waivers/lim.
What could have contributed to the cause of the accident [AccidentNumber_FTW88LA142],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|OTHER
What could have contributed to the cause of the accident [AccidentNumber_WPR09LA223],NotSpecified|InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected|NOT_SPECIFIED|PILOT_IN_COMMAND|GROUNDCREW|STUDENT_PILOT|FLIGHTCREW
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_MIA02FAMS1],Restricted
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ATL02FA113],Bombardier
What is the operator of the registered aircraft involved in [AccidentNumber_CHI04CA132],Jeffrey L. Gordon
What is the operating certificate held by the registered aircraft involved in [AccidentNumber_LAX05LA155],On-demand Air Taxi (135)
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA05LA001],Class 2 With Waivers/Limitations
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ATL01LA051],Student
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX04LA111],TSIO-520-H
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_CHI05CA210],Class 3 With Waivers/Limitations
What could have contributed to the cause of the accident [AccidentNumber_SEA00LA027],OTHER
What is the landing gear type of the registered aircraft involved in [AccidentNumber_MIA02LA165],Retractable-Tricycle
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_CHI02LA018],Commercial
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW04LA001],Not installed
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_FTW02FA087],2082.8 Hours as of last inspection
What is the engine model of the registered aircraft involved in [AccidentNumber_CHI05CA085],IO-550
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_LAX03TA043],Class 2 Valid Medical--w/ waivers/lim.
What is the engine type of the registered aircraft involved in [AccidentNumber_LAX01LA164],1Reciprocating
When was the last inspection of the registered aircraft involved in [AccidentNumber_MIA02FA162],100 Hour
What could have contributed to the cause of the accident [AccidentNumber_ERA11LA003],Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|NotSpecified|Attain/maintainNotPossible|Notattained/maintained
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL04LA032],Continental
What could have contributed to the cause of the accident [AccidentNumber_CEN14LA112],InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|STUDENT_PILOT
What could have contributed to the cause of the accident [AccidentNumber_MIA88FA001],PILOT_IN_COMMAND|PILOT_IN_COMMAND|OTHER
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_DFW05CA177],Not installed
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_FTW02LA170],4055.7 Hours at time of accident
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX05LA253],Annual
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI05CA210],___Unknown___AirframeTotalTime
What is the aircraft model of the registered aircraft involved in [AccidentNumber_FTW03LA034],690B
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_LAX03LA080],3550 Hours as of last inspection
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN01LA060],Skid
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_MIA02LA076],Private
What could have contributed to the cause of the accident [AccidentNumber_SEA01LA164],OTHERPERSON|OTHER
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_MIA03LA035],Experimental
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA02FA079],Class 2 Valid Medical--w/ waivers/lim.
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_CHI04CA250],___Unknown___InstructorRating
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_CHI05CA060],Airplane Multi-engine; Airplane Single-engine; Instrument Airplane
What could have contributed to the cause of the accident [AccidentNumber_CHI83FA353],OTHER|OTHER|OTHERPERSON|OTHER|PILOT_IN_COMMAND
What is the aircraft model of the registered aircraft involved in [AccidentNumber_MIA02LA165],T337D
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX02LA123],"AIR EXCEL, INC."
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_FTW02FA222],Single-engineLand
What is the engine type of the registered aircraft involved in [AccidentNumber_SEA01LA110],1Reciprocating
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI03LA034],UPF-7
What could have contributed to the cause of the accident [AccidentNumber_CEN13CA040],NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_ANC06LA021],OTHER
What is the serial number of the registered aircraft involved in [AccidentNumber_MIA03TA036],68-17310
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ATL03LA086],Cessna
What is the landing gear type of the registered aircraft involved in [AccidentNumber_FTW02LA194],Tailwheel
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL02FA058],2Reciprocating
What could have contributed to the cause of the accident [AccidentNumber_ERA12CA443],PILOT_IN_COMMAND|GROUNDCREW|PILOT_OF_OTHER_AIRCRAFT|FLIGHTCREW|STUDENT_PILOT|NotSpecified|Incorrectuse/operation|Unintentionaluse/operation
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX02LA036],O-540-A1D5
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI04LA026],___Unknown___AirframeTotalTime
What could have contributed to the cause of the accident [AccidentNumber_CEN10CA289],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_CHI01LA061],Normal
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_IAD05LA009],Class 1 Valid Medical--w/ waivers/lim.
What could have contributed to the cause of the accident [AccidentNumber_LAX95LA350],GROUNDPERSONNEL|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_LAX01LA163],4303 Hours at time of accident
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW01LA067],AirlineTransport;FlightInstructor;FlightEngineer
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_FTW04LA001],Lycoming
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ATL05CA019],5083.4 Hours as of last inspection
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX02LA147],Pratt&WhitneyCanada
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW04FA029],Class 2 With Waivers/Limitations
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_LAX02LA036],___Unknown___AirframeTotalTime
What could have contributed to the cause of the accident [AccidentNumber_ATL95LA047],OTHER
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI01LA112],2803 Hours
What could have contributed to the cause of the accident [AccidentNumber_DEN03FA002],OTHER|PILOT_IN_COMMAND
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_DEN01LA080],Class 2 Valid Medical--w/ waivers/lim.
